FAO products,Exiobase products
Agave fibres nes,Plant-based fibers
"Almonds, with shell","Vegetables, fruit, nuts"
"Anise, badian, fennel, coriander",Crops nec
Apples,"Vegetables, fruit, nuts"
Apricots,"Vegetables, fruit, nuts"
Areca nuts,"Vegetables, fruit, nuts"
Artichokes,"Vegetables, fruit, nuts"
Asparagus,"Vegetables, fruit, nuts"
Avocados,"Vegetables, fruit, nuts"
Bambara beans,"Vegetables, fruit, nuts"
Bananas,"Vegetables, fruit, nuts"
Barley,Cereal grains nec
"Bastfibres, other",Plant-based fibers
"Beans, dry","Vegetables, fruit, nuts"
"Beans, green","Vegetables, fruit, nuts"
Beer of barley,Beverages
Beeswax,Animal products nec
Berries nes,"Vegetables, fruit, nuts"
Blueberries,"Vegetables, fruit, nuts"
"Brazil nuts, with shell","Vegetables, fruit, nuts"
"Broad beans, horse beans, dry","Vegetables, fruit, nuts"
Buckwheat,Cereal grains nec
"Butter and ghee, sheep milk",Dairy products
"Butter, buffalo milk",Dairy products
"Butter, cow milk",Dairy products
Cabbages and other brassicas,"Vegetables, fruit, nuts"
Canary seed,Cereal grains nec
Carobs,"Vegetables, fruit, nuts"
Carrots and turnips,"Vegetables, fruit, nuts"
"Cashew nuts, with shell","Vegetables, fruit, nuts"
Cashewapple,"Vegetables, fruit, nuts"
Cassava,"Vegetables, fruit, nuts"
Cassava leaves,"Vegetables, fruit, nuts"
Castor oil seed,Oil seeds
Cauliflowers and broccoli,"Vegetables, fruit, nuts"
"Cereals, nes",Cereal grains nec
Cheese of goat mlk,Dairy products
"Cheese, buffalo milk",Dairy products
"Cheese, sheep milk",Dairy products
"Cheese, skimmed cow milk",Dairy products
"Cheese, whole cow milk",Dairy products
Cherries,"Vegetables, fruit, nuts"
"Cherries, sour","Vegetables, fruit, nuts"
Chestnut,"Vegetables, fruit, nuts"
Chick peas,"Vegetables, fruit, nuts"
Chicory roots,Crops nec
"Chillies and peppers, dry",Crops nec
"Chillies and peppers, green","Vegetables, fruit, nuts"
Cinnamon (canella),Crops nec
Cloves,Crops nec
"Cocoa, beans",Crops nec
Coconuts,"Vegetables, fruit, nuts"
"Coffee, green",Crops nec
Coir,Plant-based fibers
Copra,"Vegetables, fruit, nuts"
Cotton lint,Plant-based fibers
Cottonseed,Oil seeds
"Cow peas, dry","Vegetables, fruit, nuts"
Cranberries,"Vegetables, fruit, nuts"
Cream fresh,Dairy products
Cucumbers and gherkins,"Vegetables, fruit, nuts"
Currants,"Vegetables, fruit, nuts"
Dates,"Vegetables, fruit, nuts"
Eggplants (aubergines),"Vegetables, fruit, nuts"
"Eggs, hen, in shell",Poultry
"Eggs, other bird, in shell",Poultry
Fibre crops nes,Plant-based fibers
Figs,"Vegetables, fruit, nuts"
Flax fibre and tow,Plant-based fibers
Fonio,Cereal grains nec
Fruit citrus nes,"Vegetables, fruit, nuts"
Fruit fresh nes,"Vegetables, fruit, nuts"
Fruit pome nes,"Vegetables, fruit, nuts"
Fruit stone nes,"Vegetables, fruit, nuts"
Fruit tropical fresh nes,"Vegetables, fruit, nuts"
"Fruit, citrus nes","Vegetables, fruit, nuts"
"Fruit, fresh nes","Vegetables, fruit, nuts"
"Fruit, pome nes","Vegetables, fruit, nuts"
"Fruit, stone nes","Vegetables, fruit, nuts"
"Fruit, tropical fresh nes","Vegetables, fruit, nuts"
Garlic,"Vegetables, fruit, nuts"
"Ghee, butteroil of cow milk",Dairy products
"Ghee, of buffalo milk",Dairy products
Ginger,Crops nec
Gooseberries,"Vegetables, fruit, nuts"
Grain mixed,Cereal grains nec
"Grain, mixed",Cereal grains nec
Grapefruit (inc. pomelos),"Vegetables, fruit, nuts"
Grapes,"Vegetables, fruit, nuts"
Groundnuts with shell,Oil seeds
"Groundnuts, with shell",Oil seeds
Gums natural,"Products of forestry, logging and related services (02)"
"Gums, natural","Products of forestry, logging and related services (02)"
"Hair, horse",Meat animals nec
Hazelnuts with shell,"Vegetables, fruit, nuts"
"Hazelnuts, with shell","Vegetables, fruit, nuts"
Hemp tow waste,Plant-based fibers
Hempseed,Oil seeds
"Hides, buffalo, fresh",Meat products nec
"Hides, cattle, fresh",Products of meat cattle
"Honey, natural",Animal products nec
Hops,Crops nec
Jojoba seed,Oil seeds
Jute,Plant-based fibers
Kapok fibre,"Products of forestry, logging and related services (02)"
Kapokseed in shell,"Products of forestry, logging and related services (02)"
Karite nuts (sheanuts),Oil seeds
Kiwi fruit,"Vegetables, fruit, nuts"
Kola nuts,"Vegetables, fruit, nuts"
Lard,Meat products nec
Leeks other alliaceous vegetables,"Vegetables, fruit, nuts"
"Leeks, other alliaceous vegetables","Vegetables, fruit, nuts"
Lemons and limes,"Vegetables, fruit, nuts"
Lentils,"Vegetables, fruit, nuts"
Lettuce and chicory,"Vegetables, fruit, nuts"
Linseed,Oil seeds
Lupins,"Vegetables, fruit, nuts"
Maize,Cereal grains nec
Maize green,"Vegetables, fruit, nuts"
"Maize, green","Vegetables, fruit, nuts"
Mangoes mangosteens guavas,"Vegetables, fruit, nuts"
"Mangoes, mangosteens, guavas","Vegetables, fruit, nuts"
Manila fibre (abaca),Plant-based fibers
"Margarine, short",products of Vegetable oils and fats
MatÃ©,Crops nec
Maté,Crops nec
"Meat live weight, ass",Meat animals nec
"Meat live weight, buffalo",Meat animals nec
"Meat live weight, camel",Meat animals nec
"Meat live weight, cattle",Cattle
"Meat live weight, chicken",Poultry
"Meat live weight, duck",Poultry
"Meat live weight, goat",Meat animals nec
"Meat live weight, goose",Meat animals nec
"Meat live weight, horse",Meat animals nec
"Meat live weight, mule",Meat animals nec
"Meat live weight, pig",Pigs
"Meat live weight, poultry, other",Poultry
"Meat live weight, rabbit",Meat animals nec
"Meat live weight, sheep",Meat animals nec
"Meat live weight, turkey",Poultry
"Meat, ass",Meat animals nec
"Meat, bird nes",Meat products nec
"Meat, buffalo",Meat products nec
"Meat, camel",Meat products nec
"Meat, cattle",Products of meat cattle
"Meat, chicken",Products of meat poultry
"Meat, duck",Products of meat poultry
"Meat, game",Meat products nec
"Meat, goat",Meat products nec
"Meat, goose and guinea fowl",Meat products nec
"Meat, horse",Meat products nec
"Meat, mule",Meat products nec
"Meat, nes",Meat products nec
"Meat, pig",Products of meat pigs
"Meat, rabbit",Meat products nec
"Meat, sheep",Meat products nec
"Meat, turkey",Products of meat poultry
"Melons, other (inc.cantaloupes)","Vegetables, fruit, nuts"
Melonseed,Oil seeds
"Milk, dry buttermilk",Dairy products
"Milk, skimmed condensed",Dairy products
"Milk, skimmed cow",Dairy products
"Milk, skimmed dried",Dairy products
"Milk, skimmed evaporated",Dairy products
"Milk, whole condensed",Dairy products
"Milk, whole dried",Dairy products
"Milk, whole evaporated",Dairy products
"Milk, whole fresh buffalo",Raw milk
"Milk, whole fresh camel",Raw milk
"Milk, whole fresh cow",Raw milk
"Milk, whole fresh goat",Raw milk
"Milk, whole fresh sheep",Raw milk
Millet,Cereal grains nec
Molasses,Sugar
Mushrooms and truffles,"Vegetables, fruit, nuts"
Mustard seed,Oil seeds
Nutmeg mace and cardamoms,Crops nec
"Nutmeg, mace and cardamoms",Crops nec
Nuts nes,"Vegetables, fruit, nuts"
"Nuts, nes","Vegetables, fruit, nuts"
Oats,Cereal grains nec
"Offals, nes",Meat products nec
"Oil, citronella",products of Vegetable oils and fats
"Oil, coconut (copra)",products of Vegetable oils and fats
"Oil, cottonseed",products of Vegetable oils and fats
"Oil, groundnut",products of Vegetable oils and fats
"Oil, linseed",products of Vegetable oils and fats
"Oil, maize",products of Vegetable oils and fats
"Oil, olive, virgin",products of Vegetable oils and fats
"Oil, palm",products of Vegetable oils and fats
"Oil, palm fruit",Oil seeds
"Oil, palm kernel",products of Vegetable oils and fats
"Oil, rapeseed",products of Vegetable oils and fats
"Oil, safflower",products of Vegetable oils and fats
"Oil, sesame",products of Vegetable oils and fats
"Oil, soybean",products of Vegetable oils and fats
"Oil, stillingia",products of Vegetable oils and fats
"Oil, sunflower",products of Vegetable oils and fats
Oilseeds nes,Oil seeds
Okra,"Vegetables, fruit, nuts"
Olives,"Vegetables, fruit, nuts"
Onions dry,"Vegetables, fruit, nuts"
Onions shallots green,"Vegetables, fruit, nuts"
"Onions, dry","Vegetables, fruit, nuts"
"Onions, shallots, green","Vegetables, fruit, nuts"
Oranges,"Vegetables, fruit, nuts"
Papayas,"Vegetables, fruit, nuts"
Peaches and nectarines,"Vegetables, fruit, nuts"
Pears,"Vegetables, fruit, nuts"
Peas dry,"Vegetables, fruit, nuts"
Peas green,"Vegetables, fruit, nuts"
"Peas, dry","Vegetables, fruit, nuts"
"Peas, green","Vegetables, fruit, nuts"
Pepper (piper spp.),Crops nec
Peppermint,Crops nec
Persimmons,"Vegetables, fruit, nuts"
Pigeon peas,"Vegetables, fruit, nuts"
Pineapples,"Vegetables, fruit, nuts"
Pistachios,"Vegetables, fruit, nuts"
Plantains,"Vegetables, fruit, nuts"
Plums and sloes,"Vegetables, fruit, nuts"
Popcorn,Cereal grains nec
Poppy seed,Oil seeds
Potatoes,"Vegetables, fruit, nuts"
Pulses nes,"Vegetables, fruit, nuts"
"Pulses, nes","Vegetables, fruit, nuts"
Pumpkins squash and gourds,"Vegetables, fruit, nuts"
"Pumpkins, squash and gourds","Vegetables, fruit, nuts"
Pyrethrum dried,Crops nec
"Pyrethrum, dried",Crops nec
Quinces,"Vegetables, fruit, nuts"
Quinoa,Cereal grains nec
Raisins,Food products nec
Ramie,Plant-based fibers
Rapeseed,Oil seeds
Raspberries,"Vegetables, fruit, nuts"
Rice paddy,Paddy rice
"Rice, paddy",Paddy rice
Roots and tubers nes,"Vegetables, fruit, nuts"
"Roots and tubers, nes","Vegetables, fruit, nuts"
Rubber natural,Crops nec
"Rubber, natural",Crops nec
Rye,Cereal grains nec
Safflower seed,Oil seeds
Sesame seed,Oil seeds
"Silk-worm cocoons, reelable","Wool, silk-worm cocoons"
Sisal,Plant-based fibers
"Skins, goat, fresh",Meat products nec
"Skins, sheep, fresh",Meat products nec
"Skins, sheep, with wool",Meat products nec
Sorghum,Cereal grains nec
Soybeans,Oil seeds
"Spices, nes",Crops nec
Spinach,"Vegetables, fruit, nuts"
Strawberries,"Vegetables, fruit, nuts"
String beans,"Vegetables, fruit, nuts"
Sugar beet,"Sugar cane, sugar beet"
Sugar cane,"Sugar cane, sugar beet"
Sugar crops nes,"Sugar cane, sugar beet"
"Sugar crops, nes","Sugar cane, sugar beet"
Sugar Raw Centrifugal,Sugar
Sunflower seed,Oil seeds
Sweet potatoes,"Vegetables, fruit, nuts"
Tallow,Products of meat cattle
Tallowtree seed,Oil seeds
Tangerines mandarins clementines satsumas,"Vegetables, fruit, nuts"
"Tangerines, mandarins, clementines, satsumas","Vegetables, fruit, nuts"
Taro (cocoyam),"Vegetables, fruit, nuts"
Tea,Crops nec
Tea nes,Crops nec
Tobacco unmanufactured,Crops nec
"Tobacco, unmanufactured",Crops nec
Tomatoes,"Vegetables, fruit, nuts"
Triticale,Cereal grains nec
Tung nuts,Oil seeds
Vanilla,Crops nec
Vegetable tallow,products of Vegetable oils and fats
Vegetables fresh nes,"Vegetables, fruit, nuts"
Vegetables leguminous nes,"Vegetables, fruit, nuts"
"Vegetables, fresh nes","Vegetables, fruit, nuts"
"Vegetables, leguminous nes","Vegetables, fruit, nuts"
Vetches,"Vegetables, fruit, nuts"
Walnuts with shell,"Vegetables, fruit, nuts"
"Walnuts, with shell","Vegetables, fruit, nuts"
Watermelons,"Vegetables, fruit, nuts"
Wheat,Wheat
"Whey, cheese",Dairy products
"Whey, condensed",Dairy products
"Whey, dry",Dairy products
Wine,Beverages
"Wool, greasy","Wool, silk-worm cocoons"
Yams,"Vegetables, fruit, nuts"
Yautia (cocoyam),"Vegetables, fruit, nuts"
Yoghurt,Dairy products
