,US_EPA_Name,Radiative Forcing 100(W m-2 yr kg-1)
0,Carbon dioxide,9.17e-14
1,Methane,2.61e-12
2,Methane,2.7300000000000003e-12
3,Nitrous oxide,2.43e-11
4,CFC-11,4.2799999999999997e-10
5,CFC-12,9.39e-10
6,CFC-13,1.27e-09
7,CFC-113,5.34e-10
8,CFC-114,7.88e-10
9,CFC-115,7.030000000000001e-10
10,HCFC-21,1.35e-11
11,HCFC-22,1.6199999999999998e-10
12,HCFC-122,5.43e-12
13,,2.3700000000000003e-11
14,HCFC-123,7.28e-12
15,HCFC-123a,3.39e-11
16,HCFC-124,4.8300000000000004e-11
17,,3.0999999999999996e-11
18,HCFC-141b,7.17e-11
19,HCFC-142b,1.8200000000000002e-10
20,HCFC-225ca,1.17e-11
21,HCFC-225cb,4.81e-11
22,,1.3699999999999997e-13
23,HFC-23,1.14e-09
24,HFC-32,6.21e-11
25,HFC-41,1.07e-11
26,HFC-125,2.9100000000000003e-10
27,HFC-134,1.0200000000000001e-10
28,HFC-134a,1.19e-10
29,HFC-143,3.01e-11
30,HFC-143a,4.4100000000000003e-10
31,HFC-152,1.51e-12
32,HFC-152a,1.26e-11
33,HFC-161,3.3299999999999994e-13
34,,2.42e-10
35,HFC-227ea,3.07e-10
36,HFC-236cb,1.11e-10
37,HFC-236ea,1.2200000000000002e-10
38,HFC-236fa,7.389999999999999e-10
39,HFC-245ca,6.56e-11
40,,4.24e-10
41,,2.1600000000000002e-11
42,,2.66e-11
43,HFC-245fa,7.87e-11
44,,6.929999999999999e-12
45,,1.32e-11
46,,2.16e-10
47,HFC-365mfc,7.379999999999999e-11
48,HFC-4310mee,1.51e-10
49,,3.87e-15
50,,1.54e-15
51,,2.14e-14
52,,7.25e-15
53,,2.61e-14
54,,3.22e-14
55,HFC-1234ze(E),8.74e-14
56,,1.5399999999999997e-13
57,,1.37e-14
58,,1.15e-14
59,,1.25e-14
60,,9.890000000000001e-15
61,,8.52e-15
62,,1.4699999999999998e-11
63,Carbon tetrachloride,1.5900000000000002e-10
64,Chloromethane,1.12e-12
65,Methylene chloride,8.179999999999999e-13
66,Chloroform,1.4999999999999999e-12
67,Dichloroethane,8.24e-14
68,Methyl bromide,2.1600000000000004e-13
69,Dibromomethane,9.31e-14
70,Bromodifluoromethane,3.45e-11
71,,2.12e-11
72,Halon 1211,1.6000000000000002e-10
73,Halon 1301,5.77e-10
74,,1.59e-11
75,,3.77e-12
76,,1.68e-11
77,,1.35e-10
78,Nitrogen trifluoride,1.4699999999999999e-09
79,Sulfur hexafluoride,2.1600000000000004e-09
80,Trifluoromethyl sulfur pentafluoride,1.6e-09
81,Sulfuryl fluoride,3.76e-10
82,Carbon tetrafluoride,6.08e-10
83,Hexafluoroethane,1.02e-09
84,,8.44e-10
85,Perfluoropropane,8.160000000000001e-10
86,Perfluorocyclobutane,8.75e-10
87,Perfluorobutane,8.44e-10
88,,1.7100000000000003e-13
89,Perfluoropentane,7.84e-10
90,Perfluorohexane,7.26e-10
91,,7.17e-10
92,,6.990000000000001e-10
93,Perfluorodecalin,6.59e-10
94,,6.64e-10
95,,5.77e-10
96,Tetrafluoroethene,2.68e-16
97,,6.42e-15
98,,3.29e-16
99,,8.38e-15
100,,1.6200000000000002e-13
101,,1.14e-09
102,,5.1e-10
103,,4.7999999999999996e-11
104,,5.92e-10
105,,5.3499999999999996e-11
106,,4.5e-11
107,,3.8899999999999995e-10
108,,1.64e-10
109,,8.98e-11
110,,6e-11
111,,7.59e-11
112,,7.45e-11
113,,1.7200000000000001e-12
114,,2.7600000000000004e-11
115,,1.22e-13
116,,2.7000000000000002e-12
117,,3.57e-14
118,HFE-329mcc2,2.81e-10
119,,2.4e-10
120,HFE-338mcf2,8.52e-11
121,,1.98e-11
122,,4.86e-11
123,HFE-347mcf2,7.83e-11
124,HFE-347pcf2,8.149999999999999e-11
125,,3.33e-11
126,HFE-356mec3,3.55e-11
127,,1.5400000000000001e-12
128,HFE-356pcf2,6.59e-11
129,HFE-356pcf3,4.0899999999999996e-11
130,HFE-356pcc3,3.79e-11
131,,1.2500000000000001e-12
132,HFE-365mcf3,8.51e-14
133,,5.35e-12
134,,5.75e-11
135,,1.7300000000000001e-15
136,,1.18e-12
137,,2.58e-10
138,,3.86e-11
139,,4.45e-11
140,,3.7299999999999997e-11
141,,5.21e-12
142,,5.92e-12
143,,4.059999999999999e-12
144,,4.91e-10
145,HFE-338pcc13 (HG-01),2.67e-10
146,,1.6699999999999998e-11
147,,2.5e-10
148,,2.62e-10
149,,4.86e-10
150,,3.57e-10
151,,6.73e-10
152,,5.56e-12
153,,4.97e-15
154,,7.99e-11
155,,5.09e-12
156,,1.15e-12
157,,1.32e-11
158,,1.1999999999999999e-11
159,,5.6600000000000004e-11
160,,6.89e-11
161,,2.03e-11
162,,2.1600000000000002e-11
163,,2.03e-11
164,,4.17e-10
165,,3.91e-14
166,,3e-14
167,,1.72e-14
168,,1.1199999999999999e-11
169,,8.899999999999999e-10
170,,1.92e-14
171,,5.3899999999999996e-11
172,,5.32e-11
173,,3.45e-11
174,,3.59e-11
175,,3.0699999999999996e-12
176,,1.6e-12
177,,4.3100000000000005e-11
178,,3.0500000000000005e-11
179,,1.52e-13
180,,1.59e-13
181,,1.8899999999999998e-13
182,,1.9e-13
183,Methyl chlorocarbonate,8.74e-12
184,,2.46e-12
185,,2.83e-12
186,,1.26e-13
187,,6.270000000000001e-13
188,,4.8e-12
189,,3e-13
190,,2.48e-12
191,,3.1e-12
192,,1.1400000000000001e-10
193,,2.14e-12
194,,5.95e-10
195,,1.19e-12
196,,1.56e-12
197,,1.49e-12
198,,4.82e-14
199,,9.140000000000001e-15
200,,9.859999999999999e-16
201,,8.07e-14
202,,2.7800000000000003e-13
203,,1.83e-12
204,,4.51e-10
205,,4.12e-10
206,,3.3300000000000004e-10
